Region,Date,Cases
SULAWESI UTARA,Sep-23,170
SUMATERA BARAT,Sep-23,125
SUMATERA SELATA,Sep-23,176
SUMATERA UTARA,Sep-23,412
ACEH,Aug-23,157
BABEL,Aug-23,130
BALI,Aug-23,339
BANTEN,Aug-23,392
BENGKULU,Aug-23,119
D.I YOGYA,Aug-23,47
DKI JAKARTA,Aug-23,242
GORONTALO,Aug-23,50
JAMBI,Aug-23,96
JAWA BARAT,Aug-23,"1,791"
JAWA TENGAH,Aug-23,349
JAWA TIMUR,Aug-23,469
KALIMANTAN BARAT,Aug-23,"1,067"
KALIMANTAN SELATA,Aug-23,214
KALIMANTAN TENGAH,Aug-23,359
KALIMANTAN TIMUR,Aug-23,379
KALIMANTAN UTARA,Aug-23,62
KEPULAUAN RIAU,Aug-23,76
LAMPUNG,Aug-23,194
MALUKU,Aug-23,13
MALUKU UTARA,Aug-23,90
NUSA TENGGARA BARAT,Aug-23,90
NUSA TENGGARA TIMUR,Aug-23,32
PAPUA,Aug-23,24
PAPUA BARAT,Aug-23,140
PAPUA BARAT DAYA,Aug-23,0
PAPUA PEGUNUNGAN,Aug-23,0
PAPUA SELATAN,Aug-23,0
PAPUA TENGAH,Aug-23,0
RIAU,Aug-23,188
SULAWESI BARAT,Aug-23,132
SULAWESI SELATA,Aug-23,200
SULAWESI TENGAH,Aug-23,145
SULAWESI TENGGARA,Aug-23,131
SULAWESI UTARA,Aug-23,213
SUMATERA BARAT,Aug-23,141
SUMATERA SELATA,Aug-23,209
SUMATERA UTARA,Aug-23,439
ACEH,Jul-23,149
BABEL,Jul-23,90
BALI,Jul-23,471
BANTEN,Jul-23,309
BENGKULU,Jul-23,74
D.I YOGYA,Jul-23,48
DKI JAKARTA,Jul-23,308
GORONTALO,Jul-23,62
JAMBI,Jul-23,90
JAWA BARAT,Jul-23,"1,561"
JAWA TENGAH,Jul-23,444
JAWA TIMUR,Jul-23,497
KALIMANTAN BARAT,Jul-23,599
KALIMANTAN SELATA,Jul-23,162
KALIMANTAN TENGAH,Jul-23,272
KALIMANTAN TIMUR,Jul-23,387
KALIMANTAN UTARA,Jul-23,85
KEPULAUAN RIAU,Jul-23,63
LAMPUNG,Jul-23,222
MALUKU,Jul-23,6
MALUKU UTARA,Jul-23,77
NUSA TENGGARA BARAT,Jul-23,102
NUSA TENGGARA TIMUR,Jul-23,53
PAPUA,Jul-23,24
PAPUA BARAT,Jul-23,118
PAPUA BARAT DAYA,Jul-23,0
PAPUA PEGUNUNGAN,Jul-23,0
PAPUA SELATAN,Jul-23,0
PAPUA TENGAH,Jul-23,91
RIAU,Jul-23,159
SULAWESI BARAT,Jul-23,93
SULAWESI SELATA,Jul-23,240
SULAWESI TENGAH,Jul-23,137
SULAWESI TENGGARA,Jul-23,127
SULAWESI UTARA,Jul-23,232
SUMATERA BARAT,Jul-23,147
SUMATERA SELATA,Jul-23,182
SUMATERA UTARA,Jul-23,371
ACEH,Jun-23,125
BABEL,Jun-23,65
BALI,Jun-23,603
BANTEN,Jun-23,260
BENGKULU,Jun-23,47
D.I YOGYA,Jun-23,40
DKI JAKARTA,Jun-23,319
GORONTALO,Jun-23,75
JAMBI,Jun-23,119
JAWA BARAT,Jun-23,"1,578"
JAWA TENGAH,Jun-23,570
JAWA TIMUR,Jun-23,686
KALIMANTAN BARAT,Jun-23,248
KALIMANTAN SELATA,Jun-23,160
KALIMANTAN TENGAH,Jun-23,264
KALIMANTAN TIMUR,Jun-23,384
KALIMANTAN UTARA,Jun-23,114
KEPULAUAN RIAU,Jun-23,45
LAMPUNG,Jun-23,197
MALUKU,Jun-23,11
MALUKU UTARA,Jun-23,102
NUSA TENGGARA BARAT,Jun-23,142
NUSA TENGGARA TIMUR,Jun-23,74
PAPUA,Jun-23,20
PAPUA BARAT,Jun-23,107
PAPUA BARAT DAYA,Jun-23,0
PAPUA PEGUNUNGAN,Jun-23,0
PAPUA SELATAN,Jun-23,0
PAPUA TENGAH,Jun-23,109
RIAU,Jun-23,139
SULAWESI BARAT,Jun-23,92
SULAWESI SELATA,Jun-23,246
SULAWESI TENGAH,Jun-23,175
SULAWESI TENGGARA,Jun-23,110
SULAWESI UTARA,Jun-23,213
SUMATERA BARAT,Jun-23,161
SUMATERA SELATA,Jun-23,191
SUMATERA UTARA,Jun-23,324
ACEH,May-23,131
BABEL,May-23,49
BALI,May-23,851
BANTEN,May-23,274
BENGKULU,May-23,71
D.I YOGYA,May-23,51
DKI JAKARTA,May-23,480
GORONTALO,May-23,46
JAMBI,May-23,111
JAWA BARAT,May-23,"1,708"
JAWA TENGAH,May-23,692
JAWA TIMUR,May-23,837
