Region,Date,Cases
NUSA TENGGARA BARAT,May-10,113
NUSA TENGGARA TIMUR,May-10,50
PAPUA,May-10,16
PAPUA BARAT,May-10,0
RIAU,May-10,70
SULAWESI BARAT,May-10,0
SULAWESI SELATA,May-10,268
SULAWESI TENGAH,May-10,104
SULAWESI TENGGARA,May-10,4
SULAWESI UTARA,May-10,120
SUMATERA BARAT,May-10,161
SUMATERA SELATA,May-10,98
SUMATERA UTARA,May-10,715
,,
ACEH,Apr-10,139
BABEL,Apr-10,8
BALI,Apr-10,"1,482"
BANTEN,Apr-10,512
BENGKULU,Apr-10,49
D.I YOGYA,Apr-10,589
DKI JAKARTA,Apr-10,"2,431"
GORONTALO,Apr-10,43
JAMBI,Apr-10,16
JAWA BARAT,Apr-10,"2,891"
JAWA TENGAH,Apr-10,"2,860"
JAWA TIMUR,Apr-10,"2,476"
KALIMANTAN BARAT,Apr-10,32
KALIMANTAN SELATA,Apr-10,38
KALIMANTAN TENGAH,Apr-10,62
KALIMANTAN TIMUR,Apr-10,461
KEPULAUAN RIAU,Apr-10,94
LAMPUNG,Apr-10,86
MALUKU,Apr-10,0
MALUKU UTARA,Apr-10,28
NUSA TENGGARA BARAT,Apr-10,150
NUSA TENGGARA TIMUR,Apr-10,123
PAPUA,Apr-10,3
PAPUA BARAT,Apr-10,0
RIAU,Apr-10,80
SULAWESI BARAT,Apr-10,57
SULAWESI SELATA,Apr-10,449
SULAWESI TENGAH,Apr-10,106
SULAWESI TENGGARA,Apr-10,25
SULAWESI UTARA,Apr-10,178
SUMATERA BARAT,Apr-10,180
SUMATERA SELATA,Apr-10,115
SUMATERA UTARA,Apr-10,511
,,
ACEH,Mar-10,215
BABEL,Mar-10,20
BALI,Mar-10,"1,221"
BANTEN,Mar-10,487
BENGKULU,Mar-10,82
D.I YOGYA,Mar-10,674
DKI JAKARTA,Mar-10,"2,570"
GORONTALO,Mar-10,56
JAMBI,Mar-10,43
JAWA BARAT,Mar-10,"2,778"
JAWA TENGAH,Mar-10,"2,871"
JAWA TIMUR,Mar-10,"4,028"
KALIMANTAN BARAT,Mar-10,62
KALIMANTAN SELATA,Mar-10,117
KALIMANTAN TENGAH,Mar-10,175
KALIMANTAN TIMUR,Mar-10,715
KEPULAUAN RIAU,Mar-10,83
LAMPUNG,Mar-10,128
MALUKU,Mar-10,0
MALUKU UTARA,Mar-10,59
