Month,Year,Value,Chart_Type,Country
Dec,2026,0.0,line,Sri Lanka
Jan,2021,178.0,line,Timor-Leste
Feb,2021,242.0,line,Timor-Leste
Mar,2021,116.0,line,Timor-Leste
Apr,2021,13.0,line,Timor-Leste
May,2021,13.0,line,Timor-Leste
June,2021,20.0,line,Timor-Leste
July,2021,28.0,line,Timor-Leste
Aug,2021,8.0,line,Timor-Leste
Sep,2021,7.0,line,Timor-Leste
Oct,2021,12.0,line,Timor-Leste
Nov,2021,39.0,line,Timor-Leste
Dec,2021,225.0,line,Timor-Leste
Jan,2022,1371.0,line,Timor-Leste
Feb,2022,1284.0,line,Timor-Leste
Mar,2022,1201.0,line,Timor-Leste
Apr,2022,700.0,line,Timor-Leste
May,2022,487.0,line,Timor-Leste
June,2022,254.0,line,Timor-Leste
July,2022,139.0,line,Timor-Leste
Aug,2022,47.0,line,Timor-Leste
Sep,2022,25.0,line,Timor-Leste
Oct,2022,63.0,line,Timor-Leste
Nov,2022,41.0,line,Timor-Leste
Dec,2022,46.0,line,Timor-Leste
