Region,Date,Cases
SULAWESI TENGAH,Mar-2024,276
SULAWESI TENGGARA,Mar-2024,869
SULAWESI UTARA,Mar-2024,698
SUMATERA BARAT,Mar-2024,224
SUMATERA SELATA,Mar-2024,776
SUMATERA UTARA,Mar-2024,383
,,
ACEH,Feb-2024,203
BABEL,Feb-2024,226
BALI,Feb-2024,908
BANTEN,Feb-2024,"2,117"
BENGKULU,Feb-2024,449
D.I YOGYA,Feb-2024,304
DKI JAKARTA,Feb-2024,777
GORONTALO,Feb-2024,293
JAMBI,Feb-2024,332
JAWA BARAT,Feb-2024,"6,291"
JAWA TENGAH,Feb-2024,"1,474"
JAWA TIMUR,Feb-2024,"3,617"
KALIMANTAN BARAT,Feb-2024,343
KALIMANTAN SELATA,Feb-2024,776
KALIMANTAN TENGAH,Feb-2024,838
KALIMANTAN TIMUR,Feb-2024,"1,282"
KALIMANTAN UTARA,Feb-2024,53
KEPULAUAN RIAU,Feb-2024,89
LAMPUNG,Feb-2024,"1,199"
MALUKU,Feb-2024,66
MALUKU UTARA,Feb-2024,121
NUSA TENGGARA BARAT,Feb-2024,421
NUSA TENGGARA TIMUR,Feb-2024,552
PAPUA,Feb-2024,45
PAPUA BARAT,Feb-2024,78
PAPUA BARAT DAYA,Feb-2024,23
PAPUA PEGUNUNGAN,Feb-2024,14
PAPUA SELATAN,Feb-2024,0
PAPUA TENGAH,Feb-2024,382
RIAU,Feb-2024,262
SULAWESI BARAT,Feb-2024,250
SULAWESI SELATA,Feb-2024,901
SULAWESI TENGAH,Feb-2024,362
SULAWESI TENGGARA,Feb-2024,"1,563"
SULAWESI UTARA,Feb-2024,864
SUMATERA BARAT,Feb-2024,253
SUMATERA SELATA,Feb-2024,"1,242"
SUMATERA UTARA,Feb-2024,441
