Region,Date,Cases
SUMATERA UTARA,May-15,376
,,
ACEH,Apr-15,82
BABEL,Apr-15,67
BALI,Apr-15,"1,685"
BANTEN,Apr-15,365
BENGKULU,Apr-15,59
D.I YOGYA,Apr-15,424
DKI JAKARTA,Apr-15,"1,006"
GORONTALO,Apr-15,24
JAMBI,Apr-15,110
JAWA BARAT,Apr-15,"2,364"
JAWA TENGAH,Apr-15,"2,305"
JAWA TIMUR,Apr-15,"1,941"
KALIMANTAN BARAT,Apr-15,76
KALIMANTAN SELATA,Apr-15,207
KALIMANTAN TENGAH,Apr-15,107
KALIMANTAN TIMUR,Apr-15,513
KALIMANTAN UTARA,Apr-15,48
KEPULAUAN RIAU,Apr-15,55
LAMPUNG,Apr-15,161
MALUKU,Apr-15,1
MALUKU UTARA,Apr-15,6
NUSA TENGGARA BARAT,Apr-15,164
NUSA TENGGARA TIMUR,Apr-15,28
PAPUA,Apr-15,83
PAPUA BARAT,Apr-15,5
RIAU,Apr-15,162
SULAWESI BARAT,Apr-15,32
SULAWESI SELATA,Apr-15,340
SULAWESI TENGAH,Apr-15,122
SULAWESI TENGGARA,Apr-15,203
SULAWESI UTARA,Apr-15,0
SUMATERA BARAT,Apr-15,240
SUMATERA SELATA,Apr-15,355
SUMATERA UTARA,Apr-15,324
,,
ACEH,Mar-15,109
BABEL,Mar-15,91
BALI,Mar-15,"1,494"
BANTEN,Mar-15,352
BENGKULU,Mar-15,67
D.I YOGYA,Mar-15,440
DKI JAKARTA,Mar-15,755
GORONTALO,Mar-15,44
JAMBI,Mar-15,137
JAWA BARAT,Mar-15,"2,276"
JAWA TENGAH,Mar-15,"2,049"
JAWA TIMUR,Mar-15,"2,645"
KALIMANTAN BARAT,Mar-15,151
KALIMANTAN SELATA,Mar-15,418
KALIMANTAN TENGAH,Mar-15,163
KALIMANTAN TIMUR,Mar-15,487
KALIMANTAN UTARA,Mar-15,63
KEPULAUAN RIAU,Mar-15,67
LAMPUNG,Mar-15,520
MALUKU,Mar-15,6
MALUKU UTARA,Mar-15,6
NUSA TENGGARA BARAT,Mar-15,155
NUSA TENGGARA TIMUR,Mar-15,177
PAPUA,Mar-15,70
PAPUA BARAT,Mar-15,14
RIAU,Mar-15,183
SULAWESI BARAT,Mar-15,19
