Region,Date,Cases
KALIMANTAN TENGAH,Sep-2019,25
KALIMANTAN TIMUR,Sep-2019,190
KALIMANTAN UTARA,Sep-2019,115
KEPULAUAN RIAU,Sep-2019,91
LAMPUNG,Sep-2019,103
MALUKU,Sep-2019,0
MALUKU UTARA,Sep-2019,86
NUSA TENGGARA BARAT,Sep-2019,56
NUSA TENGGARA TIMUR,Sep-2019,2
PAPUA,Sep-2019,7
PAPUA BARAT,Sep-2019,17
RIAU,Sep-2019,368
SULAWESI BARAT,Sep-2019,31
SULAWESI SELATA,Sep-2019,111
SULAWESI TENGAH,Sep-2019,90
SULAWESI TENGGARA,Sep-2019,34
SULAWESI UTARA,Sep-2019,38
SUMATERA BARAT,Sep-2019,173
SUMATERA SELATA,Sep-2019,52
SUMATERA UTARA,Sep-2019,685
,,
ACEH,Aug-2019,240
BABEL,Aug-2019,53
BALI,Aug-2019,238
BANTEN,Aug-2019,132
BENGKULU,Aug-2019,140
D.I YOGYA,Aug-2019,123
DKI JAKARTA,Aug-2019,122
GORONTALO,Aug-2019,55
JAMBI,Aug-2019,97
JAWA BARAT,Aug-2019,869
JAWA TENGAH,Aug-2019,213
JAWA TIMUR,Aug-2019,225
KALIMANTAN BARAT,Aug-2019,78
KALIMANTAN SELATA,Aug-2019,45
KALIMANTAN TENGAH,Aug-2019,27
KALIMANTAN TIMUR,Aug-2019,314
KALIMANTAN UTARA,Aug-2019,132
KEPULAUAN RIAU,Aug-2019,172
LAMPUNG,Aug-2019,160
MALUKU,Aug-2019,0
MALUKU UTARA,Aug-2019,74
NUSA TENGGARA BARAT,Aug-2019,95
NUSA TENGGARA TIMUR,Aug-2019,15
PAPUA,Aug-2019,6
PAPUA BARAT,Aug-2019,19
RIAU,Aug-2019,301
SULAWESI BARAT,Aug-2019,28
SULAWESI SELATA,Aug-2019,123
SULAWESI TENGAH,Aug-2019,154
SULAWESI TENGGARA,Aug-2019,32
SULAWESI UTARA,Aug-2019,55
SUMATERA BARAT,Aug-2019,194
SUMATERA SELATA,Aug-2019,94
SUMATERA UTARA,Aug-2019,761
,,
ACEH,Jul-2019,230
BABEL,Jul-2019,50
BALI,Jul-2019,338
BANTEN,Jul-2019,240
BENGKULU,Jul-2019,144
D.I YOGYA,Jul-2019,229
DKI JAKARTA,Jul-2019,323
GORONTALO,Jul-2019,44
JAMBI,Jul-2019,94
JAWA BARAT,Jul-2019,"1,552"
JAWA TENGAH,Jul-2019,418
JAWA TIMUR,Jul-2019,399
KALIMANTAN BARAT,Jul-2019,85
KALIMANTAN SELATA,Jul-2019,48
KALIMANTAN TENGAH,Jul-2019,43
KALIMANTAN TIMUR,Jul-2019,475
KALIMANTAN UTARA,Jul-2019,149
KEPULAUAN RIAU,Jul-2019,255
LAMPUNG,Jul-2019,226
MALUKU,Jul-2019,0
MALUKU UTARA,Jul-2019,124
NUSA TENGGARA BARAT,Jul-2019,153
NUSA TENGGARA TIMUR,Jul-2019,25
PAPUA,Jul-2019,9
PAPUA BARAT,Jul-2019,33
RIAU,Jul-2019,389
SULAWESI BARAT,Jul-2019,57
SULAWESI SELATA,Jul-2019,150
SULAWESI TENGAH,Jul-2019,222
SULAWESI TENGGARA,Jul-2019,46
SULAWESI UTARA,Jul-2019,58
SUMATERA BARAT,Jul-2019,191
SUMATERA SELATA,Jul-2019,126
SUMATERA UTARA,Jul-2019,813
,,
ACEH,Jun-2019,158
BABEL,Jun-2019,51
BALI,Jun-2019,589
BANTEN,Jun-2019,253
BENGKULU,Jun-2019,141
D.I YOGYA,Jun-2019,305
DKI JAKARTA,Jun-2019,802
GORONTALO,Jun-2019,58
JAMBI,Jun-2019,112
JAWA BARAT,Jun-2019,"2,171"
JAWA TENGAH,Jun-2019,698
JAWA TIMUR,Jun-2019,762
KALIMANTAN BARAT,Jun-2019,99
KALIMANTAN SELATA,Jun-2019,43
KALIMANTAN TENGAH,Jun-2019,70
KALIMANTAN TIMUR,Jun-2019,387
KALIMANTAN UTARA,Jun-2019,180
KEPULAUAN RIAU,Jun-2019,199
LAMPUNG,Jun-2019,343
MALUKU,Jun-2019,1
MALUKU UTARA,Jun-2019,169
NUSA TENGGARA BARAT,Jun-2019,253
NUSA TENGGARA TIMUR,Jun-2019,22
PAPUA,Jun-2019,33
PAPUA BARAT,Jun-2019,32
RIAU,Jun-2019,208
SULAWESI BARAT,Jun-2019,62
SULAWESI SELATA,Jun-2019,171
SULAWESI TENGAH,Jun-2019,133
SULAWESI TENGGARA,Jun-2019,86
SULAWESI UTARA,Jun-2019,80
SUMATERA BARAT,Jun-2019,124
SUMATERA SELATA,Jun-2019,121
SUMATERA UTARA,Jun-2019,598
,,
ACEH,May-2019,135
BABEL,May-2019,80
BALI,May-2019,975
BANTEN,May-2019,282
BENGKULU,May-2019,107
D.I YOGYA,May-2019,524
DKI JAKARTA,May-2019,"1,375"
GORONTALO,May-2019,45
JAMBI,May-2019,86
JAWA BARAT,May-2019,"2,574"
JAWA TENGAH,May-2019,"1,108"
JAWA TIMUR,May-2019,"1,353"
KALIMANTAN BARAT,May-2019,129
KALIMANTAN SELATA,May-2019,63
KALIMANTAN TENGAH,May-2019,101
KALIMANTAN TIMUR,May-2019,597
KALIMANTAN UTARA,May-2019,233
KEPULAUAN RIAU,May-2019,100
LAMPUNG,May-2019,325
MALUKU,May-2019,8
MALUKU UTARA,May-2019,87
NUSA TENGGARA BARAT,May-2019,498
NUSA TENGGARA TIMUR,May-2019,91
PAPUA,May-2019,55
PAPUA BARAT,May-2019,57
RIAU,May-2019,152
SULAWESI BARAT,May-2019,48
SULAWESI SELATA,May-2019,214
SULAWESI TENGAH,May-2019,120
SULAWESI TENGGARA,May-2019,88
SULAWESI UTARA,May-2019,56
SUMATERA BARAT,May-2019,155
SUMATERA SELATA,May-2019,157
SUMATERA UTARA,May-2019,577
,,
ACEH,Apr-2019,141
BABEL,Apr-2019,79
BALI,Apr-2019,714
BANTEN,Apr-2019,303
BENGKULU,Apr-2019,73
D.I YOGYA,Apr-2019,472
DKI JAKARTA,Apr-2019,"1,173"
